col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,label_0,label_1,label_2,label_3,label_4,label_5,label_6
A1,600,_1,_1,_4,_6,_2,_10,_0,_0,50,0,0,_0,_1,0,0,0,0,0,0,0
A1,700,_1,_5,_1,_10,_6,_10,_3,_1,75,1,1,_0,_1,0,1,1,0,0,1,0
A1,200,_1,_5,_1,_10,_6,_10,_3,_4,75,1,1,_0,_1,0,1,1,0,0,1,0
A1,300,_1,_5,_0,_6,_10,_2,_3,_4,25,0,0,_0,_1,0,0,1,0,0,0,0
A1,600,_2,_1,_4,_10,_2,_6,_0,_0,99,0,5,_0,_1,0,1,1,1,0,1,1
A1,200,_1,_5,_1,_6,_6,_10,_1,_0,50,0,0,_0,_1,0,0,0,0,0,0,0
A1,500,_1,_5,_0,_6,_6,_10,_1,_2,25,0,0,_0,_2,0,0,1,0,0,0,0
A1,700,_1,_5,_2,_10,_6,_9,_0,_0,100,1,1,_0,_1,1,1,0,1,0,0,0
A1,750,_2,_5,_1,_6,_1,_2,_0,_1,50,1,0,_0,_1,0,1,1,0,0,0,0
A1,200,_1,_12,_4,_2,_7,_6,_0,_0,75,1,0,_0,_1,0,1,1,0,0,0,0
A1,200,_1,_1,_4,_2,_7,_1,_0,_0,100,2,1,_0,_1,1,0,0,0,0,0,0
A1,300,_1,_14,_2,_1,_2,_7,_0,_0,100,2,1,_0,_1,0,1,1,0,0,0,0
A1,7000,_1,_1,_1,_2,_6,_10,_3,_3,50,1,5,_0,_1,1,0,1,0,0,0,0
A1,1700,_1,_1,_1,_2,_6,_10,_0,_1,100,2,2,_2,_1,1,1,1,0,0,0,0
A1,8000,_1,_1,_3,_2,_10,_7,_0,_0,100,9,9,_0,_1,0,1,1,0,0,0,0
A1,30000,_1,_1,_3,_1,_1,_1,_0,_0,100,2,10,_0,_1,1,1,1,1,1,0,0
A1,300,_1,_12,_4,_1,_1,_1,_0,_0,100,5,10,_0,_1,0,1,1,0,1,0,0
A1,300,_1,_15,_1,_1,_1,_9,_0,_0,75,0,5,_0,_1,0,1,1,0,0,0,0
A1,1600,_3,_1,_0,_2,_6,_2,_3,_1,75,2,1,_0,_1,1,1,1,1,0,0,0
A1,3800,_6,_1,_2,_6,_6,_2,_3,_1,25,0,0,_0,_1,1,0,1,0,1,0,0
A1,7000,_6,_1,_1,_6,_10,_2,_3,_4,50,0,0,_0,_1,1,0,1,0,0,0,0
A1,2500,_1,_1,_3,_10,_2,_6,_0,_1,100,0,1,_0,_1,1,0,1,0,0,1,0
A1,800,_1,_1,_0,_1,_2,_7,_3,_4,100,2,1,_0,_1,0,1,1,0,0,0,0
A1,1700,_1,_1,_3,_10,_6,_2,_0,_0,100,0,0,_0,_1,0,1,1,0,0,0,0
A1,300,_1,_1,_2,_7,_2,_10,_0,_0,100,5,5,_2,_1,1,0,0,0,0,1,0
A1,4500,_1,_1,_1,_2,_2,_9,_3,_2,100,9,9,_0,_1,1,1,1,0,1,0,0
A1,1000,_1,_12,_4,_2,_2,_1,_0,_0,100,5,9,_0,_1,0,1,0,0,0,0,0
A1,7000,_1,_1,_4,_2,_2,_1,_0,_0,100,5,5,_0,_1,0,0,0,1,1,0,1
A1,30000,_1,_1,_3,_2,_2,_1,_1,_0,100,5,5,_0,_1,1,1,1,0,0,1,1
