col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,label_22,label_23,label_24,label_25
_31,Argentina,_2202,Left,_4,_4,Medium/ Medium,Messi,8,10,9,10,10,9,9,10,10,9,2,9,3,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
_33,Portugal,_2228,Right,_4,_5,High/ Low,C. Ronaldo,8,9,8,9,9,9,9,10,7,10,3,8,3,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
_26,Brazil,_2143,Right,_5,_5,High/ Medium,Neymar,8,9,8,10,10,9,9,9,8,8,4,9,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
_27,Belgium,_2281,Right,_5,_4,High/ High,Normal,9,8,9,9,9,8,8,9,8,9,6,9,7,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
_27,Belgium,_2142,Right,_4,_4,High/ Medium,Normal,8,8,8,10,9,9,9,9,9,8,4,9,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
_32,Croatia,_2280,Right,_4,_4,High/ High,Lean,9,7,9,9,9,8,7,9,9,8,8,9,6,7,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
_31,Uruguay,_2346,Right,_4,_3,High/ Medium,Normal,8,9,7,9,9,9,8,9,8,9,4,8,6,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
_32,Spain,_2201,Right,_3,_3,High/ Medium,Normal,7,6,8,6,8,8,8,9,7,8,9,6,9,9,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_29,Poland,_2152,Right,_4,_4,High/ Medium,Normal,6,9,7,9,9,8,8,9,8,9,4,8,3,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
_32,Uruguay,_1946,Right,_3,_2,Medium/ High,Lean,6,4,7,5,8,7,7,9,5,7,9,5,9,9,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_32,Spain,_2115,Left,_2,_4,High/ Medium,Normal,8,8,9,9,9,7,6,9,9,7,5,9,6,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
_27,France,_2189,Right,_3,_2,Medium/ High,Lean,7,7,8,8,8,8,8,9,9,7,9,8,9,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
_24,Argentina,_2092,Left,_3,_4,High/ Medium,Normal,8,8,8,9,9,9,8,9,9,8,3,9,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
_24,England,_2165,Right,_4,_3,High/ High,Normal,8,9,8,8,8,7,7,9,7,9,4,8,6,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
_27,France,_2246,Left,_3,_4,High/ High,Lean,8,9,8,9,9,9,9,9,8,8,4,8,6,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
_29,Spain,_2065,Right,_3,_3,Medium/ Medium,Lean,6,7,8,8,9,5,5,9,5,6,9,9,9,8,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
_31,Uruguay,_2161,Right,_4,_3,High/ High,Lean,7,9,6,8,8,8,8,9,6,9,5,8,5,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
_30,Argentina,_2107,Right,_4,_4,High/ Medium,Stocky,7,9,7,9,9,9,8,9,9,9,2,8,3,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
_33,Italy,_1841,Left,_3,_2,Medium/ High,Normal,6,3,6,6,6,6,8,8,6,8,9,5,9,9,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
_19,France,_2118,Right,_4,_5,High/ Medium,Lean,8,9,7,9,9,10,10,9,8,8,4,8,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
_26,Egypt,_2146,Left,_3,_4,High/ Medium,PLAYER_BODY_TYPE_25,8,9,7,9,9,9,9,9,9,8,6,8,4,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
_26,Brazil,_2170,Right,_3,_2,Medium/ High,Normal,5,6,8,7,8,6,7,8,7,9,9,8,9,9,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
_26,Colombia,_2171,Left,_3,_4,Medium/ Medium,Normal,9,8,8,9,9,7,7,9,8,9,6,9,5,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
_27,Italy,_2017,Right,_3,_4,High/ Medium,Normal,9,8,8,9,9,9,9,8,9,8,3,9,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
_26,Spain,_2137,Right,_3,_4,High/ Medium,Normal,8,8,8,9,10,8,7,8,9,7,6,9,6,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
_26,Denmark,_2117,Right,_5,_4,High/ Medium,Lean,9,8,9,8,9,8,7,9,8,8,6,9,6,4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
